NUM_START,NUM_END,NUM_LENGTH,NUM_SPECIAL,NUM_CATEGORY,NUM_SUB_CATEGORY,NUM_ALLOCATEE_OR_ASSIGNEE,NUM_REMARK
"1868","1868","4","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline  服務台 / 熱線","HK SAR Govt (Immigration Dept) 香港特別行政區政府入境事務處","Hotline for Government services 政府服務熱線"
"187007","187007","6","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline  服務台 / 熱線","Hong Kong Police Force 香港警務處","Hotline for Government services 政府服務熱線"
"18721","18723","7","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline  服務台 / 熱線","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Radio audience Phone-in 電台聽衆來電直播節目"
"18728","18729","7","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline  服務台 / 熱線","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Radio audience Phone-in 電台聽衆來電直播節目"
"18780","18780","7","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline  服務台 / 熱線","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Community Service, Charity Donation / Casualty Enquiry 公益服務,籌款/意外傷亡查詢"
"18782","18783","7","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline  服務台 / 熱線","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Community Service, Charity Donation / Casualty Enquiry 公益服務,籌款/意外傷亡查詢"
"18785","18789","7","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline  服務台 / 熱線","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Community Service, Charity Donation / Casualty Enquiry 公益服務,籌款/意外傷亡查詢"
"18793","18793","7","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline  服務台 / 熱線","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Community Service/Charity Hot Line 公益服務,慈善熱線"
"1880","1880","4","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline / Telebet  服務台 / 熱線 / 電話投注","Hong Kong Jockey Club 香港賽馬會",""
"1881","1889","4","","Short Code (cat. 2)  短碼(第二類)","Helpdesk / Hotline / Telebet  服務台 / 熱線 / 電話投注","Hong Kong Jockey Club 香港賽馬會",""
"189","189","N/A","","Short Code (cat. 2)  短碼(第二類)","Disaster Recovery 災難應變電話","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Code format 號碼格式: "189+DN""
"19-","19-","Variable","","Others (cat. 3)  其他(第三類)","Test codes / Routing codes 測試碼 / 路由碼","** All Operators (Universally allocated) 所有營辦商","Generally not passed across networks 號碼一般不跨網使用"
"200","200","3","","Access Code 接入碼","","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Calling Card 電話卡"
"20100000","20199999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"20200000","20209999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"20210000","20299999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"20300000","20399999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"20400000","20499999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"20500000","20599999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"20600000","20699999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"207","207","3","","Access Code 接入碼","","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司","Calling Card 電話卡"
"208","208","3","","Access Code 接入碼","","HGC Global Communications Limited 環球全域電訊有限公司","Calling Card 電話卡"
"209","209","3","","Access Code 接入碼","","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司","Calling Card 電話卡"
"21000000","21099999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"21100000","21199999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"21200000","21299999","8","Y","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"21300000","21399999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"21400000","21499999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"21500000","21599999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"21600000","21799999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"21800000","21899999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"21900000","22199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"22200000","22219999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"22220000","22229999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"22230000","22299999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"22300000","23199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"23200000","23299999","8","Y","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"23300000","23399999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"23400000","23499999","8","Y","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"23500000","24199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"24200000","24299999","8","Y","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"24300000","25199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"25200000","25299999","8","Y","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"25300000","26199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"26200000","26299999","8","Y","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"26300000","27199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"27200000","27299999","8","Y","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"27300000","28087999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"28088000","28088099","8","","Access Code 接入碼","","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Calling Card 電話卡"
"28088100","28199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"28200000","28299999","8","Y","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"28300000","29199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"29200000","29299999","8","Y","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"29300000","29399999","8","","Fixed Services 固網服務","Dataline 數據線","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"29400000","29999999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"3000","3000","<=7","","Access Code 接入碼","","** All PNETS Operators 所有公共非專利電信服務營辦商","Number Translation Devices 號碼轉換設備"
"30010000","30049999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"30050000","30059999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"30060000","30069999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30070000","30079999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"30080000","30099999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"30100000","30179999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30180000","30189999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"30190000","30209999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30210000","30219999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","** Spare - open for application 備用/供申請使用",""
"30220000","30229999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","** Spare - open for application 備用/供申請使用",""
"30230000","30239999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","** Spare - open for application 備用/供申請使用",""
"30240000","30249999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"30250000","30259999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","** Spare - open for application 備用/供申請使用",""
"30260000","30269999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","** Spare - open for application 備用/供申請使用",""
"30270000","30279999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"30280000","30289999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","** Spare - open for application 備用/供申請使用",""
"30290000","30299999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","** Spare - open for application 備用/供申請使用",""
"30300000","30399999","8","Y","Access Code 接入碼","Non-ETS 非對外電信服務","** Reserved 預留",""
"30400000","30499999","8","","Access Code 接入碼","Non-ETS 非對外電信服務","** Spare - open for application 備用/供申請使用",""
"30500000","30519999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"30520000","30539999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30540000","30549999","8","","Access Code 接入碼","ETS 對外電信服務","ComNet Telecom (HK) Limited 信通電話(香港)有限公司",""
"30550000","30559999","8","","Access Code 接入碼","ETS 對外電信服務","** Spare - open for application 備用/供申請使用",""
"30560000","30569999","8","","Access Code 接入碼","ETS 對外電信服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"30570000","30609999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30610000","30619999","8","","Access Code 接入碼","ETS 對外電信服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"30620000","30629999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30630000","30649999","8","","Access Code 接入碼","ETS 對外電信服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"30650000","30659999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"30660000","30669999","8","","Access Code 接入碼","ETS 對外電信服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"30670000","30679999","8","","Access Code 接入碼","ETS 對外電信服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"30680000","30689999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30690000","30699999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"30700000","30719999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30720000","30729999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"30730000","30739999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30740000","30749999","8","","Access Code 接入碼","ETS 對外電信服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"30750000","30789999","8","","Access Code 接入碼","ETS 對外電信服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"30790000","30799999","8","","Access Code 接入碼","ETS 對外電信服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"30800000","30889999","8","","Access Code 接入碼","ETS 對外電信服務","** Spare - open for application 備用/供申請使用",""
"30890000","30899999","8","","Access Code 接入碼","ETS 對外電信服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"30900000","30999999","8","","Access Code 接入碼","ETS 對外電信服務","** Spare - open for application 備用/供申請使用",""
"31000000","31099999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"31100000","31199999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"31200000","31299999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"31300000","31309999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"31310000","31319999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"31320000","31399999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"31400000","31499999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"31500000","31699999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"31700000","31799999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"31800000","31899999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"31900000","31999999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"32","33","N/A","Y","Others 其他","** Migration / Digit-upgrade 網絡升級用","** Reserved 預留",""
"34000000","34199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"34200000","34299999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"34300000","34339999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"34340000","34349999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"34350000","34399999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"34400000","34499999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"34500000","34559999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"34560000","34569999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"34570000","34599999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"34600000","34649999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"34650000","34679999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"34680000","34699999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"34700000","34799999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"34800000","34899999","8","","Fixed Services 固網服務","Class One 第一類服務","SmarTone Communications Limited",""
"34900000","34999999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"35000000","35049999","8","","Fixed Services 固網服務","Class One 第一類服務","ComNet Telecom (HK) Limited 信通電話(香港)有限公司",""
"35050000","35099999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"35100000","35199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"35200000","35299999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"35300000","35349999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"35350000","35359999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"35360000","35399999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"35400000","35499999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"35500000","35599999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"35600000","35699999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"35700000","35899999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"35900000","35999999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"36000000","36099999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"36100000","36199999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"36200000","36299999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"36300000","36359999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"36360000","36369999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"36370000","36399999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"36400000","36499999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"36500000","36699999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"36700000","36799999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"36800000","36849999","8","","Fixed Services 固網服務","Class One 第一類服務","HKC Network Limited 中港網絡有限公司",""
"36850000","36899999","8","","Fixed Services 固網服務","Class One 第一類服務","SmarTone Communications Limited",""
"36900000","36999999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"37000000","37019999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"37020000","37059999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"37060000","37099999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"37100000","37199999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"37200000","37249999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"37250000","37259999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"37260000","37269999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司",""
"37270000","37289999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"37290000","37299999","8","","Fixed Services 固網服務","Class One 第一類服務","Verizon Hong Kong Limited",""
"37300000","37369999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"37370000","37379999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"37380000","37399999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"37400000","37499999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"37500000","37599999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"37600000","37699999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"37700000","37799999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"37800000","37899999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"37900000","37999999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38000000","38299999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"38300000","38379999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"38380000","38389999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"38390000","38399999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"38400000","38409999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38410000","38429999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38430000","38439999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38440000","38449999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"38450000","38459999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38460000","38469999","8","","Fixed Services 固網服務","Class One 第一類服務","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"38470000","38489999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"38490000","38499999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38500000","38519999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"38520000","38529999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"38530000","38539999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38540000","38559999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"38560000","38569999","8","","Fixed Services 固網服務","Class One 第一類服務","Verizon Hong Kong Limited",""
"38570000","38589999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38590000","38599999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"38600000","38609999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"38610000","38619999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"38620000","38629999","8","","Fixed Services 固網服務","Class One 第一類服務","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
"38630000","38659999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"38660000","38699999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare - open for application 備用/供申請使用",""
"38700000","38719999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"38720000","38739999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"38740000","38799999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare - open for application 備用/供申請使用",""
"38800000","38899999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"38900000","38919999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38920000","38929999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"38930000","38939999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"38940000","38949999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"38950000","38969999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"38970000","38999999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"39000000","39099999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"39100000","39199999","8","","Fixed Services 固網服務","Class One 第一類服務","HGC Global Communications Limited 環球全域電訊有限公司",""
"39200000","39299999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"39300000","39389999","8","","Fixed Services 固網服務","Class One 第一類服務","** Spare 備用",""
"39390000","39399999","8","Y","Fixed Services 固網服務","Class One 第一類服務","** Reserved 預留",""
"39400000","39499999","8","","Fixed Services 固網服務","Class One 第一類服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited",""
"39500000","39519999","8","","Fixed Services 固網服務","Class One 第一類服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司",""
"39520000","39529999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"39530000","39569999","8","","Fixed Services 固網服務","Class One 第一類服務","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司",""
"39570000","39579999","8","","Fixed Services 固網服務","Class One 第一類服務","China Mobile Hong Kong Company Limited 中國移動香港有限公司",""
